student_id,course_id,gender,enrollment_reason,enrollment_status,final_grade,time_spent
_60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,86.272,2087.0501
_66693,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,93.7536,2309.0334
_66811,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,91.2016,5298.8507
_66862,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,59.8197328,1746.9667
_67508,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,83.8149328,2668.183
_70532,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,93.64,2938.4666
_77010,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,73.1706672,1533.0996
_85249,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,86.8912,1209.8496
_85411,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,90.9157328,473.0333
_85583,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,91.6549328,5532.4164
_85865,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,52.1712,95.3
_85866,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,75.1296,3050.0831
_85970,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,81.6224,610.8334
_86072,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,91.2928,608.1834
_86119,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,71.7376,2127.0664
_86267,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,35.0608,406.0001
_86275,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,95.0208,7067.1498
_86277,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,89.8133328,3856.8672
_86286,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,96.8144,4140.4495
_86294,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,83.4938672,4239.5495
_86429,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,89.5072,7003.0005
_86432,AnPhA-S116-01,M,Scheduling Conflict,Approved/Enrolled,68.6629328,3715.9002
_86446,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,85.6208,2527.6997
_86451,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,93.7024,4176.8337
_86476,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,92.1949328,1937.5168
_86479,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,92.6074672,2712.234
_86484,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,80.0656,1872.0336
_86488,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,87.4408,3599.7168
_86492,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,25.5928,893.1332
_86504,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,75.5392,1551.3498
_86588,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,19.84,67.5167
_86608,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,79.8506672,3109.0664
_87043,AnPhA-S116-01,F,Other,Approved/Enrolled,91.312,1587.1833
_87166,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,77.3104,1471.8833
_88050,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,71.6757328,2130.6666
_88068,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,70.6074672,535.8334
_88099,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,81.9629328,2615.4998
_88153,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,88.7024,6954.6997
_88641,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,87.1808,1998.4998
_89142,AnPhA-S116-01,F,Other,Approved/Enrolled,95.104,3067.4676
_89194,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,83.2053328,317.2168
_89918,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,75.6416,6009.3666
